"Id","Name","Phone","CurrencyIsoCode","RRDICode__c","SiteGeoIdPK__c"
"001A","Person Account A","+56695342668","EUR","MH4ABRF","9MQL9BCNH2"
"001B","Person Account B","+56695342669","EUR","0GWNTEZ","CRAKBRROSI"
"001C","Person Account C","+56695342670","EUR","NPSYBTR","OY5X6ZHBZ9"
"001D","Person Account D","+56695342671","EUR","SYIGEU4","YVUBZJR3A7"
"001E","Person Account E","+56695342672","EUR","CP6I1WJ","M5MR3X3O3F"
"001F","Person Account F","+56695342673","EUR","3FG2KUH","P7QN0LKABV"
"001G","Person Account G","+56695342674","EUR","MDX4S7F","VUSV9E2G8F"
"001H","Person Account H","+56695342675","EUR","AH2LAMR","32RLKKLJRY"
"001I","Person Account I","+56695342676","EUR","0WZ4MFI","986XMKURWM"
"001J","Person Account J","+56695342677","EUR","5GHWW71","M3FQB83UMI"
