"Salutation","LastName","FirstName","AccountId","Email","LandlinePersonalTelephone__c","CurrencyIsoCode"
"1","Account A","Alexander","001A","person.a@test.com","+56695342668","EUR"
"1","Account B","Becky","001B","person.b@test.com","+56695342669","EUR"
"1","Account C","Chloe","001C","person.c@test.com","+56695342670","EUR"
"1","Account D","Diana","001D","person.d@test.com","+56695342671","EUR"
"1","Account E","Emily","001E","person.e@test.com","+56695342672","EUR"
"1","Account F","Fiona","001F","person.f@test.com","+56695342673","EUR"
"1","Account G","George","001G","person.g@test.com","+56695342674","EUR"
"1","Account H","Hailey","001H","person.h@test.com","+56695342675","EUR"
"1","Account I","Ilsa","001I","person.i@test.com","+56695342676","EUR"
"1","Account J","Jacob","001J","person.j@test.com","+56695342677","EUR"
